env_id,control_effort,timeToGoal,stayedInGoal,precisionOnGoal
493,0.0,NaN,0.0,0.9396941065788269
494,0.0,NaN,0.0,0.6673051714897156
495,0.0,NaN,0.0,0.5902022123336792
496,0.0,NaN,0.0,0.41887903213500977
497,0.0,NaN,0.0,0.5902022123336792
498,0.0,NaN,0.0,0.9310663938522339
499,0.0,NaN,0.0,1.3156038522720337
500,0.0,NaN,0.0,1.71452796459198
501,0.0,NaN,0.0,2.119537353515625
502,0.0,NaN,0.0,2.5274577140808105
503,0.0,NaN,0.0,2.9367473125457764
504,0.0,NaN,0.0,2.9367449283599854
505,0.0,NaN,0.0,2.5274579524993896
506,0.0,NaN,0.0,2.119537591934204
507,0.0,NaN,0.0,1.7145277261734009
508,0.0,NaN,0.0,1.315603494644165
509,0.0,NaN,0.0,0.9310664534568787
510,0.0,NaN,0.0,0.5902020335197449
511,0.0,NaN,0.0,0.4188790023326874
512,0.0,NaN,0.0,0.8377578854560852
513,0.0,NaN,0.0,0.9310665130615234
514,0.0,NaN,0.0,1.1669061183929443
515,0.0,NaN,0.0,1.4782038927078247
516,0.0,NaN,0.0,1.8262357711791992
517,0.0,NaN,0.0,2.1928648948669434
518,0.0,NaN,0.0,2.5692083835601807
519,0.0,NaN,0.0,2.950317859649658
520,0.0,NaN,0.0,2.9503166675567627
521,0.0,NaN,0.0,2.5692083835601807
522,0.0,NaN,0.0,2.1928648948669434
523,0.0,NaN,0.0,1.8262356519699097
524,0.0,NaN,0.0,1.4782037734985352
525,0.0,NaN,0.0,1.1669059991836548
526,0.0,NaN,0.0,0.9310665726661682
527,0.0,NaN,0.0,0.8377578854560852
528,0.0,NaN,0.0,0.9310665726661682
529,0.0,NaN,0.0,0.9396942257881165
530,0.0,NaN,0.0,1.1068710088729858
531,0.0,NaN,0.0,1.3756471872329712
532,0.0,NaN,0.0,1.697911024093628
533,0.0,NaN,0.0,2.04782772064209
534,0.0,NaN,0.0,2.4124293327331543
535,0.0,NaN,0.0,2.78468656539917
536,0.0,NaN,0.0,3.122973680496216
537,0.0,NaN,0.0,2.7476377487182617
